tte_days,product,strike,mean_mid,mean_intrinsic,mean_extrinsic
6,VEV_4000,4000,1255.39735,1255.39215,0.0052
6,VEV_4500,4500,755.40185,755.39215,0.0097
6,VEV_5000,5000,258.5447,255.39215,3.15255
6,VEV_5100,5100,167.32545,155.39215,11.9333
6,VEV_5200,5200,94.04695,55.39215,38.6548
6,VEV_5300,5300,44.4781,0.0,44.4781
6,VEV_5400,5400,13.7343,0.0,13.7343
6,VEV_5500,5500,5.29425,0.0,5.29425
6,VEV_6000,6000,0.5,0.0,0.5
6,VEV_6500,6500,0.5,0.0,0.5
7,VEV_4000,4000,1248.40795,1248.3919,0.01605
7,VEV_4500,4500,748.40525,748.3919,0.01335
7,VEV_5000,5000,253.263,248.3919,4.8711
7,VEV_5100,5100,164.9832,148.3919,16.5913
7,VEV_5200,5200,95.12845,48.39275,46.7357
7,VEV_5300,5300,46.9092,0.0,46.9092
7,VEV_5400,5400,15.6542,0.0,15.6542
7,VEV_5500,5500,6.57085,0.0,6.57085
7,VEV_6000,6000,0.5,0.0,0.5
7,VEV_6500,6500,0.5,0.0,0.5
8,VEV_4000,4000,1246.5241,1246.51025,0.01385
8,VEV_4500,4500,746.5216,746.51025,0.01135
8,VEV_5000,5000,253.2595,246.51025,6.74925
8,VEV_5100,5100,168.1077,146.51025,21.59745
8,VEV_5200,5200,97.4709,46.51025,50.96065
8,VEV_5300,5300,48.8925,0.0,48.8925
8,VEV_5400,5400,18.46725,0.0,18.46725
8,VEV_5500,5500,8.05895,0.0,8.05895
8,VEV_6000,6000,0.5,0.0,0.5
8,VEV_6500,6500,0.5,0.0,0.5
