product,delta_acf_1,delta_acf_5,zero_delta_share,imbalance_corr_future_delta_5,spread_corr_future_abs_delta_5,mean_rel_spread_bps
HYDROGEL_PACK,-0.12915495840626667,0.0016485269772514913,0.18016666666666667,0.13868996570124897,-0.08244122242502311,15.735268953201999
VELVETFRUIT_EXTRACT,-0.1585264053551321,0.0014770942396096659,0.24666666666666667,0.1440646908899179,-0.06616769301522306,9.500996233742304
VEV_4000,-0.28413412611451955,0.001485589762731428,0.2706,0.28377206433762825,-0.2922778181162655,166.49258576105004
VEV_4500,-0.2245339418027801,0.0005197147898165764,0.2653333333333333,0.21846861373846052,-0.18965575109107144,211.3410847779813
VEV_5000,-0.0977722840085144,-0.0008941588114359399,0.2858,0.10214282376627425,-0.011104478868418474,237.0700022011594
VEV_5100,-0.09378288307835349,-0.00024162877767730599,0.29933333333333334,0.1007445627535957,0.010743577271499596,257.8870145771924
VEV_5200,-0.1353188366614404,-0.003042918975717437,0.4289,0.1510732838162469,0.02054423113135184,303.42635407189346
VEV_5300,-0.21008277591900248,-0.004232662303748797,0.5766666666666667,0.20610261242996267,0.053234318721827226,454.8304665772336
VEV_5400,-0.25420449382011656,-0.0006865741137829878,0.7196,0.19328230197469826,0.10008236763853307,900.1054361848524
VEV_5500,-0.24534252786079605,-0.01233763128594512,0.8783666666666666,0.22626047591851456,0.31920951241007794,1858.639419505329
VEV_6000,,,0.9999,,,20000.0
VEV_6500,,,0.9999,,,20000.0
