symbol,trade_count,qty_mean,qty_median,price_mean
HYDROGEL_PACK,1010,4.037623762376238,4.0,9990.486138613862
VELVETFRUIT_EXTRACT,1372,6.026967930029154,6.0,5250.476676384839
VEV_4000,464,2.0258620689655173,2.0,1249.8146551724137
VEV_4500,1,1.0,1.0,733.0
VEV_5000,1,1.0,1.0,238.0
VEV_5100,1,1.0,1.0,152.0
VEV_5200,18,3.5,4.0,85.27777777777777
VEV_5300,121,3.4710743801652892,4.0,44.15702479338843
VEV_5400,225,3.497777777777778,4.0,14.884444444444444
VEV_5500,267,3.5093632958801497,4.0,5.951310861423221
VEV_6000,284,3.528169014084507,4.0,0.0
VEV_6500,284,3.528169014084507,4.0,0.0
