product,underlying_lag_steps,corr_underlying_delta_to_option_delta
VEV_4000,0,0.5948738081139467
VEV_4000,1,-0.02412396376337314
VEV_4000,2,-0.00036032836906510994
VEV_4000,5,-0.008205429012786113
VEV_4000,10,0.006582759508335293
VEV_4500,0,0.5979063819424835
VEV_4500,1,0.009691617597136968
VEV_4500,2,-0.0011317277446661336
VEV_4500,5,-0.005405758270998973
VEV_4500,10,0.001741765662780688
VEV_5000,0,0.7536427220938047
VEV_5000,1,-0.006071701164227393
VEV_5000,2,-0.0031648120372919715
VEV_5000,5,-0.006697797148294102
VEV_5000,10,0.0022459098815551955
VEV_5100,0,0.7653302054445341
VEV_5100,1,-0.011486959712135163
VEV_5100,2,0.004558403783932469
VEV_5100,5,-0.002644800985721065
VEV_5100,10,-0.0025160144045118264
VEV_5200,0,0.7174150885004528
VEV_5200,1,-0.008734792755055397
VEV_5200,2,0.0015082480459714751
VEV_5200,5,-0.0035343079364415966
VEV_5200,10,0.0006844091392355905
VEV_5300,0,0.6216399087228954
VEV_5300,1,-0.00158946072159475
VEV_5300,2,-0.0027034556294444376
VEV_5300,5,0.007680179404349888
VEV_5300,10,0.005617233195410947
VEV_5400,0,0.5400562735002287
VEV_5400,1,-0.001064086637794027
VEV_5400,2,-0.008080496377948327
VEV_5400,5,-0.00431419108490393
VEV_5400,10,-0.0019938257355297975
VEV_5500,0,0.34822162716233135
VEV_5500,1,0.005375101852535356
VEV_5500,2,-0.0018601966079408924
VEV_5500,5,0.00744347494313828
VEV_5500,10,-0.0038045897356704887
VEV_6000,0,
VEV_6000,1,
VEV_6000,2,
VEV_6000,5,
VEV_6000,10,
VEV_6500,0,
VEV_6500,1,
VEV_6500,2,
VEV_6500,5,
VEV_6500,10,
