day,counterparty,symbol,trade_count,quantity,notional,side
1,Mark 01,VELVETFRUIT_EXTRACT,76,426.0,2233681.0,buyer
1,Mark 01,VEV_5300,32,110.0,4784.0,buyer
1,Mark 01,VEV_5400,76,267.0,3890.0,buyer
1,Mark 01,VEV_5500,89,310.0,1846.0,buyer
1,Mark 01,VEV_6000,98,345.0,0.0,buyer
1,Mark 01,VEV_6500,98,345.0,0.0,buyer
1,Mark 14,HYDROGEL_PACK,183,729.0,7278235.0,buyer
1,Mark 14,VELVETFRUIT_EXTRACT,114,630.0,3304525.0,buyer
1,Mark 14,VEV_4000,91,185.0,229385.0,buyer
1,Mark 14,VEV_5200,6,21.0,1818.0,buyer
1,Mark 14,VEV_5300,6,19.0,922.0,buyer
1,Mark 14,VEV_5400,5,19.0,360.0,buyer
1,Mark 14,VEV_5500,3,11.0,77.0,buyer
1,Mark 22,HYDROGEL_PACK,3,11.0,110111.0,buyer
1,Mark 22,VELVETFRUIT_EXTRACT,10,61.0,319541.0,buyer
1,Mark 38,HYDROGEL_PACK,189,745.0,7453178.0,buyer
1,Mark 38,VEV_4000,73,148.0,186228.0,buyer
1,Mark 38,VEV_4500,1,1.0,733.0,buyer
1,Mark 38,VEV_5000,1,1.0,238.0,buyer
1,Mark 38,VEV_5100,1,1.0,152.0,buyer
1,Mark 38,VEV_5200,1,1.0,87.0,buyer
1,Mark 38,VEV_5300,1,1.0,41.0,buyer
1,Mark 49,VELVETFRUIT_EXTRACT,6,38.0,199531.0,buyer
1,Mark 55,VELVETFRUIT_EXTRACT,186,1011.0,5307043.0,buyer
1,Mark 67,VELVETFRUIT_EXTRACT,58,519.0,2723756.0,buyer
2,Mark 01,VELVETFRUIT_EXTRACT,91,505.0,2654084.0,buyer
2,Mark 01,VEV_5300,31,107.0,4647.0,buyer
2,Mark 01,VEV_5400,78,276.0,3533.0,buyer
2,Mark 01,VEV_5500,91,324.0,1545.0,buyer
2,Mark 01,VEV_6000,95,337.0,0.0,buyer
2,Mark 01,VEV_6500,95,337.0,0.0,buyer
2,Mark 14,HYDROGEL_PACK,142,571.0,5701303.0,buyer
2,Mark 14,VELVETFRUIT_EXTRACT,92,542.0,2847894.0,buyer
2,Mark 14,VEV_4000,64,132.0,164435.0,buyer
2,Mark 14,VEV_5200,8,26.0,2150.0,buyer
2,Mark 14,VEV_5300,14,55.0,2355.0,buyer
2,Mark 14,VEV_5400,2,7.0,107.0,buyer
2,Mark 14,VEV_5500,3,11.0,62.0,buyer
2,Mark 22,HYDROGEL_PACK,4,15.0,149661.0,buyer
2,Mark 22,VELVETFRUIT_EXTRACT,9,51.0,268234.0,buyer
2,Mark 38,HYDROGEL_PACK,165,658.0,6572812.0,buyer
2,Mark 38,VEV_4000,64,124.0,156768.0,buyer
2,Mark 49,VELVETFRUIT_EXTRACT,6,40.0,210235.0,buyer
2,Mark 55,VELVETFRUIT_EXTRACT,218,1190.0,6259451.0,buyer
2,Mark 67,VELVETFRUIT_EXTRACT,61,567.0,2980762.0,buyer
3,Mark 01,VELVETFRUIT_EXTRACT,93,486.0,2545159.0,buyer
3,Mark 01,VEV_5200,11,34.0,2225.0,buyer
3,Mark 01,VEV_5300,69,222.0,6512.0,buyer
3,Mark 01,VEV_5400,109,368.0,2778.0,buyer
