counterparty,day,total_trades,buy_trades,sell_trades,dominant_product,dominant_side,distinct_products
Mark 14,1,764,408,356,HYDROGEL_PACK,buyer,7
Mark 14,2,668,325,343,HYDROGEL_PACK,seller,7
Mark 14,3,740,394,346,HYDROGEL_PACK,buyer,7
Mark 01,1,550,469,81,VELVETFRUIT_EXTRACT,buyer,6
Mark 01,2,573,481,92,VELVETFRUIT_EXTRACT,buyer,6
Mark 01,3,720,649,71,VELVETFRUIT_EXTRACT,buyer,7
Mark 22,1,474,13,461,VEV_6000,seller,12
Mark 22,2,471,13,458,VEV_6000,seller,8
Mark 22,3,639,16,623,VEV_6000,seller,12
Mark 38,1,544,267,277,HYDROGEL_PACK,seller,7
Mark 38,2,439,229,210,HYDROGEL_PACK,buyer,2
Mark 38,3,495,237,258,HYDROGEL_PACK,seller,7
Mark 55,1,384,186,198,VELVETFRUIT_EXTRACT,seller,1
Mark 55,2,411,218,193,VELVETFRUIT_EXTRACT,buyer,1
Mark 55,3,403,194,209,VELVETFRUIT_EXTRACT,seller,1
Mark 67,1,58,58,0,VELVETFRUIT_EXTRACT,buyer,1
Mark 67,2,61,61,0,VELVETFRUIT_EXTRACT,buyer,1
Mark 67,3,46,46,0,VELVETFRUIT_EXTRACT,buyer,1
Mark 49,1,40,6,34,VELVETFRUIT_EXTRACT,seller,1
Mark 49,2,43,6,37,VELVETFRUIT_EXTRACT,seller,1
Mark 49,3,39,5,34,VELVETFRUIT_EXTRACT,seller,1
