day,counterparty,trade_count,quantity,notional,distinct_products,side
1,Mark 01,469,1803.0,2244201.0,6,buyer
1,Mark 14,408,1614.0,10815322.0,7,buyer
1,Mark 22,13,72.0,429652.0,2,buyer
1,Mark 38,267,898.0,7640657.0,7,buyer
1,Mark 49,6,38.0,199531.0,1,buyer
1,Mark 55,186,1011.0,5307043.0,1,buyer
1,Mark 67,58,519.0,2723756.0,1,buyer
2,Mark 01,481,1886.0,2663809.0,6,buyer
2,Mark 14,325,1344.0,8718306.0,7,buyer
2,Mark 22,13,66.0,417895.0,2,buyer
2,Mark 38,229,782.0,6729580.0,2,buyer
2,Mark 49,6,40.0,210235.0,1,buyer
2,Mark 55,218,1190.0,6259451.0,1,buyer
2,Mark 67,61,567.0,2980762.0,1,buyer
3,Mark 01,649,2364.0,2557341.0,7,buyer
3,Mark 14,394,1552.0,10151124.0,7,buyer
3,Mark 22,16,68.0,345303.0,8,buyer
3,Mark 38,237,813.0,6807254.0,6,buyer
3,Mark 49,5,37.0,193707.0,1,buyer
3,Mark 55,194,1053.0,5517434.0,1,buyer
3,Mark 67,46,424.0,2221932.0,1,buyer
1,Mark 01,81,458.0,2404594.0,1,seller
1,Mark 14,356,1398.0,10260786.0,3,seller
1,Mark 22,461,1734.0,1522957.0,12,seller
1,Mark 38,277,925.0,7617731.0,2,seller
1,Mark 49,34,342.0,1795543.0,1,seller
1,Mark 55,198,1098.0,5758551.0,1,seller
2,Mark 01,92,528.0,2777199.0,1,seller
2,Mark 14,343,1392.0,9857916.0,3,seller
2,Mark 22,458,1738.0,1451886.0,8,seller
2,Mark 38,210,718.0,6015399.0,2,seller
2,Mark 49,37,400.0,2102572.0,1,seller
2,Mark 55,193,1099.0,5775066.0,1,seller
3,Mark 01,71,389.0,2038286.0,1,seller
3,Mark 14,346,1418.0,9986328.0,3,seller
3,Mark 22,623,2211.0,1057122.0,12,seller
3,Mark 38,258,864.0,7228292.0,7,seller
3,Mark 49,34,329.0,1724848.0,1,seller
3,Mark 55,209,1100.0,5759219.0,1,seller
