day,counterparty,time_bucket,trade_count,quantity,notional,side
1,Mark 01,early,158,583.0,706986.0,buyer
1,Mark 01,late,150,591.0,486445.0,buyer
1,Mark 01,mid,161,629.0,1050770.0,buyer
1,Mark 14,early,132,501.0,3595791.0,buyer
1,Mark 14,late,133,548.0,3565454.0,buyer
1,Mark 14,mid,143,565.0,3654077.0,buyer
1,Mark 22,early,5,30.0,157142.0,buyer
1,Mark 22,late,2,10.0,71534.0,buyer
1,Mark 22,mid,6,32.0,200976.0,buyer
1,Mark 38,early,100,324.0,2631732.0,buyer
1,Mark 38,late,90,326.0,2948163.0,buyer
1,Mark 38,mid,77,248.0,2060762.0,buyer
1,Mark 49,early,2,9.0,47325.0,buyer
1,Mark 49,late,1,8.0,42016.0,buyer
1,Mark 49,mid,3,21.0,110190.0,buyer
1,Mark 55,early,66,352.0,1849143.0,buyer
1,Mark 55,late,60,336.0,1765572.0,buyer
1,Mark 55,mid,60,323.0,1692328.0,buyer
1,Mark 67,early,23,205.0,1076640.0,buyer
1,Mark 67,late,19,169.0,887403.0,buyer
1,Mark 67,mid,16,145.0,759713.0,buyer
2,Mark 01,early,160,647.0,1004158.0,buyer
2,Mark 01,late,141,551.0,953290.0,buyer
2,Mark 01,mid,180,688.0,706361.0,buyer
2,Mark 14,early,99,389.0,2398401.0,buyer
2,Mark 14,late,113,498.0,3467361.0,buyer
2,Mark 14,mid,113,457.0,2852544.0,buyer
2,Mark 22,early,8,43.0,268704.0,buyer
2,Mark 22,late,4,19.0,109279.0,buyer
2,Mark 22,mid,1,4.0,39912.0,buyer
2,Mark 38,early,78,264.0,2300688.0,buyer
2,Mark 38,late,73,249.0,2143712.0,buyer
2,Mark 38,mid,78,269.0,2285180.0,buyer
2,Mark 49,early,2,15.0,79005.0,buyer
2,Mark 49,late,3,18.0,94564.0,buyer
2,Mark 49,mid,1,7.0,36666.0,buyer
2,Mark 55,early,79,444.0,2339377.0,buyer
2,Mark 55,late,76,404.0,2126145.0,buyer
2,Mark 55,mid,63,342.0,1793929.0,buyer
2,Mark 67,early,19,183.0,963779.0,buyer
2,Mark 67,late,26,244.0,1282954.0,buyer
2,Mark 67,mid,16,140.0,734029.0,buyer
3,Mark 01,early,206,766.0,826820.0,buyer
3,Mark 01,late,208,791.0,953715.0,buyer
3,Mark 01,mid,235,807.0,776806.0,buyer
3,Mark 14,early,143,592.0,4075382.0,buyer
3,Mark 14,late,127,499.0,3178275.0,buyer
3,Mark 14,mid,124,461.0,2897467.0,buyer
3,Mark 22,early,3,10.0,76423.0,buyer
3,Mark 22,late,3,20.0,128620.0,buyer
3,Mark 22,mid,10,38.0,140260.0,buyer
3,Mark 38,early,75,257.0,2078139.0,buyer
3,Mark 38,late,73,243.0,2021968.0,buyer
3,Mark 38,mid,89,313.0,2707147.0,buyer
3,Mark 49,early,2,12.0,62868.0,buyer
3,Mark 49,late,1,8.0,42152.0,buyer
3,Mark 49,mid,2,17.0,88687.0,buyer
3,Mark 55,early,60,327.0,1714712.0,buyer
3,Mark 55,late,72,392.0,2057829.0,buyer
3,Mark 55,mid,62,334.0,1744893.0,buyer
3,Mark 67,early,16,143.0,749710.0,buyer
3,Mark 67,late,17,159.0,834593.0,buyer
3,Mark 67,mid,13,122.0,637629.0,buyer
1,Mark 01,early,24,135.0,709389.0,seller
1,Mark 01,late,30,171.0,899025.0,seller
1,Mark 01,mid,27,152.0,796180.0,seller
1,Mark 14,early,137,513.0,3605633.0,seller
1,Mark 14,late,118,485.0,3768966.0,seller
1,Mark 14,mid,101,400.0,2886187.0,seller
1,Mark 22,early,153,570.0,558661.0,seller
1,Mark 22,late,153,616.0,475370.0,seller
1,Mark 22,mid,155,548.0,488926.0,seller
1,Mark 38,early,94,315.0,2718962.0,seller
1,Mark 38,late,88,306.0,2469596.0,seller
1,Mark 38,mid,95,304.0,2429173.0,seller
1,Mark 49,early,15,144.0,756303.0,seller
1,Mark 49,late,9,96.0,504356.0,seller
1,Mark 49,mid,10,102.0,534884.0,seller
1,Mark 55,early,63,327.0,1715811.0,seller
1,Mark 55,late,57,314.0,1649274.0,seller
1,Mark 55,mid,78,457.0,2393466.0,seller
2,Mark 01,early,37,221.0,1164164.0,seller
2,Mark 01,late,27,149.0,784149.0,seller
2,Mark 01,mid,28,158.0,828886.0,seller
2,Mark 14,early,114,459.0,3291024.0,seller
2,Mark 14,late,117,483.0,3332398.0,seller
2,Mark 14,mid,112,450.0,3234494.0,seller
2,Mark 22,early,148,571.0,532045.0,seller
2,Mark 22,late,130,493.0,562028.0,seller
2,Mark 22,mid,180,674.0,357813.0,seller
2,Mark 38,early,64,196.0,1534350.0,seller
2,Mark 38,late,75,286.0,2492507.0,seller
2,Mark 38,mid,71,236.0,1988542.0,seller
2,Mark 49,early,13,141.0,742375.0,seller
2,Mark 49,late,17,183.0,961976.0,seller
2,Mark 49,mid,7,76.0,398221.0,seller
2,Mark 55,early,69,397.0,2090154.0,seller
2,Mark 55,late,70,389.0,2044247.0,seller
2,Mark 55,mid,54,313.0,1640665.0,seller
3,Mark 01,early,22,128.0,670897.0,seller
3,Mark 01,late,26,146.0,766841.0,seller
3,Mark 01,mid,23,115.0,600548.0,seller
3,Mark 14,early,103,423.0,2982108.0,seller
3,Mark 14,late,116,468.0,3202818.0,seller
3,Mark 14,mid,127,527.0,3801402.0,seller
3,Mark 22,early,206,747.0,502129.0,seller
3,Mark 22,late,190,692.0,169498.0,seller
3,Mark 22,mid,227,772.0,385495.0,seller
3,Mark 38,early,94,334.0,2938917.0,seller
3,Mark 38,late,80,271.0,2272105.0,seller
3,Mark 38,mid,84,259.0,2017270.0,seller
3,Mark 49,early,10,87.0,455946.0,seller
3,Mark 49,late,17,166.0,871262.0,seller
3,Mark 49,mid,7,76.0,397640.0,seller
3,Mark 55,early,70,388.0,2034057.0,seller
3,Mark 55,late,72,369.0,1934628.0,seller
3,Mark 55,mid,67,343.0,1790534.0,seller
