feature_level,sample_size,avg_future_mid_return_bps_1,avg_future_mid_return_bps_5,avg_future_mid_return_bps_10,avg_rel_spread_bps,avg_depth_1,feature_name,feature_role,online_usable
stable broad,3501,-7.646146894804446,-8.909945919847425,0.6195908014421504,4068.4131714035334,37.928591830905454,buyer_stability_class,counterparty role,yes
stable specialist,780,0.7561085599864306,0.9991463374478214,0.8411004489241345,8.057066221215186,68.72692307692307,buyer_stability_class,counterparty role,yes
stable broad,3576,-7.41574256223733,-8.623528091150714,0.6829220975777563,3983.1905981997397,38.41387024608501,seller_stability_class,counterparty role,yes
stable specialist,705,0.48127631296417805,0.6004963571325029,0.543427411449272,8.38219230361493,69.54184397163121,seller_stability_class,counterparty role,yes
0,1569,-5.893256058033466,-7.976521683282708,-5.375016388338336,59.146319281201784,46.80114722753346,buyer_is_symbol_dominant,counterparty-symbol dominance,yes
1,2712,-6.243686152974352,-6.600008849965328,4.1514183109559895,5220.132171749305,41.65339233038348,buyer_is_symbol_dominant,counterparty-symbol dominance,yes
0,1510,0.14764646242162394,1.2572841250822744,1.4874180583717176,33.14516846991118,46.98675496688742,seller_is_symbol_dominant,counterparty-symbol dominance,yes
1,2771,-9.52809157711209,-11.661091862522833,0.20903806491104274,5124.413504275262,41.66185492601949,seller_is_symbol_dominant,counterparty-symbol dominance,yes
0,102,3.388782095345903,11.345374557344181,7.565673009070784,27.83230059857052,35.88235294117647,pair_is_recurrent,pair recurrence,yes with historical memory
1,4179,-6.347224545500414,-7.5548252517410015,0.49139676934304233,3409.1792606066674,43.72696817420435,pair_is_recurrent,pair recurrence,yes with historical memory
at_or_above_ask,1502,1.0105340462663117,0.9810368609661495,0.6095731783653268,33.283296970634765,46.968042609853526,trade_location_bucket,trade-to-book context,yes
at_or_below_bid,2776,-10.026582620918148,-11.536195786600693,0.6387216195422345,5114.020786464721,41.706051873198845,trade_location_bucket,trade-to-book context,yes
inside_spread,3,45.52520541860981,45.52520541860981,45.52520541860981,1095.26982011992,24.333333333333332,trade_location_bucket,trade-to-book context,yes
