product_role,time_bucket,rows,mean_rel_spread_bps,mean_depth_1,mean_abs_imbalance_1,mean_abs_mid_delta_1
ITM structural,early,20004,188.77000646797083,19.842831433713258,0.008823063563497055,0.9084658465846585
ITM structural,late,19998,188.77937493505272,19.90884088408841,0.00897735188819096,0.9108660866086609
ITM structural,mid,19998,188.8307491295806,19.839283928392838,0.009964964663662089,0.91001600160016
active zone,early,40008,316.04219444075414,38.59705558888222,0.19613164707202935,0.5562056205620562
active zone,late,39996,323.0942795248471,39.06008100810081,0.19398765449268554,0.5582183218321832
active zone,mid,39996,338.8852823000847,40.08898389838984,0.19458508650414252,0.5236648664866487
anchor,early,10002,9.460459300849129,75.59868026394722,0.29848252824067156,0.8755375537553756
anchor,late,9999,9.502895609534535,75.44484448444844,0.29062268870265223,0.8606860686068607
anchor,mid,9999,9.52036527004071,75.57875787578757,0.3058520620179321,0.8493349334933493
delta-1 base,early,10002,15.732568354996411,24.822035592881424,0.009637065527181422,1.69006900690069
delta-1 base,late,9999,15.73100927668806,24.846684668466846,0.00952062157520232,1.6466646664666467
delta-1 base,mid,9999,15.745487662850318,24.80878087808781,0.009473728337587735,1.6609660966096609
floor/monitor,early,20004,20000.0,37.9874025194961,0.0019260042085194984,0.0
floor/monitor,late,19998,20000.0,38.02030203020302,0.001993335597694869,0.0
floor/monitor,mid,19998,20000.0,37.94549454945494,0.0020904472919093236,0.0
upper/passive,early,20004,1704.8510162589089,44.02594481103779,0.03338130882406017,0.10168516851685168
upper/passive,late,19998,2191.082673251296,44.301980198019805,0.027120757392437942,0.08450845084508452
upper/passive,mid,19998,2665.977737440058,44.18656865686569,0.024929586541670618,0.07295729572957296
