day,product,strike,median_bs_iv,mean_bs_iv,bs_iv_valid_share,median_delta,median_gamma,median_vega,median_theta,median_extrinsic_value,total_trade_count
1,VEV_4000,4000,,,0.0,1.0,,,,0.0,164.0
1,VEV_4500,4500,0.4812562589992333,0.4812562589992333,0.6666666666666666,0.9951352695713224,4.448808898766741e-05,9.378999922384315,-142.17950298093794,0.0,1.0
1,VEV_5000,5000,0.2578111202091929,0.2561521715089373,1.0,0.9299696485989688,0.0007665382076263048,88.83104191657165,-734.0264224641867,5.5,1.0
1,VEV_5100,5100,0.25001872546943477,0.25110566969916065,1.0,0.8159624493977341,0.0015502841220928112,175.9686499339752,-1410.2835348308215,17.5,1.0
1,VEV_5200,5200,0.2605095201381922,0.25780030063148596,1.0,0.6190430562215129,0.002246505734427865,252.01466205156237,-2084.159758580713,47.5,7.0
1,VEV_5300,5300,0.26332633720265797,0.26190260268703863,1.0,0.39377613036943154,0.0021908986826475554,254.44117121020423,-2081.179924411717,48.0,39.0
1,VEV_5400,5400,0.24534165026857135,0.24313043963641504,1.0,0.18567503426029947,0.0016352049826712563,177.20975547334513,-1304.0101403081665,15.5,81.0
1,VEV_5500,5500,0.2605622292476021,0.26364856148706667,1.0,0.08443981118760874,0.000903328634977125,102.56273818068429,-830.6769595603705,6.5,92.0
1,VEV_6000,6000,0.41555320803362467,0.41573129980258533,1.0,0.005765983903952682,5.9720462608560946e-05,10.855382559891597,-142.0961549866492,0.5,98.0
1,VEV_6500,6500,0.6294588975757656,0.6296305684995779,1.0,0.003969623606785433,2.8263813001257726e-05,7.782039995597857,-154.30194097036556,0.5,98.0
2,VEV_4000,4000,,,0.0,1.0,,,,0.0,128.0
2,VEV_4500,4500,0.5535940988756385,0.5535940988756385,0.6666666666666666,0.9951409791945238,4.486285842306038e-05,8.14749700292288,-189.42416387369045,0.0,0.0
2,VEV_5000,5000,0.2824649250774407,0.2779693893741127,1.0,0.9554648836165994,0.0005791209216204596,54.01304643451244,-640.7852268018131,3.0,0.0
2,VEV_5100,5100,0.26307728985931766,0.2665166966923219,1.0,0.8598809729077564,0.0014715076155355144,127.97140288803071,-1486.3627995111328,11.5,0.0
2,VEV_5200,5200,0.27079779201495313,0.27274534886620844,1.0,0.6572279994415717,0.002440310582315516,210.87768871183275,-2492.4680085551413,37.0,8.0
2,VEV_5300,5300,0.27916302394449133,0.28008602216958994,1.0,0.4013996492807551,0.0023630742812014048,221.86578777284578,-2537.4525343202126,44.0,45.0
2,VEV_5400,5400,0.2606161273223521,0.2591913114948529,1.0,0.17038998485181572,0.0017539331347557682,145.402638322337,-1537.9292642179053,13.0,80.0
2,VEV_5500,5500,0.28668435375587287,0.28215480543642424,1.0,0.06665117564439146,0.0008300729276196767,74.17630787297932,-860.8877410888879,4.5,94.0
2,VEV_6000,6000,0.4743214868350273,0.4761630442102038,1.0,0.00581716014182995,6.078657038430436e-05,9.491282720029327,-189.08061193290837,0.5,95.0
2,VEV_6500,6500,0.7215385653759459,0.7233080840500055,1.0,0.003989512841447758,2.855011176022501e-05,6.781282417692552,-205.50418505698244,0.5,95.0
3,VEV_4000,4000,,,0.0,1.0,,,,0.0,150.0
3,VEV_4500,4500,0.6724796911051236,0.6724796911051236,0.3333333333333333,1.0,4.5645507079376306e-05,6.69550814022415,-283.66337449357593,0.0,2.0
3,VEV_5000,5000,0.3085128553137396,0.3058095436626111,1.0,0.9523329346033177,0.0006611447614194736,46.363703429861445,-939.0611927771303,2.5,2.0
3,VEV_5100,5100,0.2997808184107161,0.2948107417320458,1.0,0.8472190370641164,0.0016515861185741995,110.23267042065791,-2124.9741397856815,11.5,2.0
3,VEV_5200,5200,0.3005359475157756,0.29991340256839666,1.0,0.6216635830108473,0.002747896067635482,177.58864120980857,-3452.291768055786,38.5,32.0
3,VEV_5300,5300,0.3026992278559892,0.30495292429679616,1.0,0.3548618307342257,0.002514788825756473,173.85084423732636,-3244.7816298581297,33.0,80.0
3,VEV_5400,5400,0.28231967170992023,0.2893294076387712,1.0,0.1299916694939598,0.001568917597235645,98.88966354211468,-1758.8653328429998,8.5,115.0
3,VEV_5500,5500,0.3054055486312946,0.3066181743732524,1.0,0.04272172100635879,0.0006269230803674331,42.45218391665708,-826.36797182811,2.5,120.0
3,VEV_6000,6000,0.5929407286012759,0.5972051737089298,1.0,0.005726945894880489,5.891346280466179e-05,7.619599878714185,-284.63217953530386,0.5,124.0
3,VEV_6500,6500,0.895241399940172,0.8993413176506678,1.0,0.00395434117951457,2.8044785113995725e-05,5.4764434506537,-308.8725507917535,0.5,124.0
