day,product,strike,total_trade_count,total_trade_notional,median_panel_mid,median_bs_iv
1,VEV_4000,4000,164.0,415613.0,1249.5,
1,VEV_4500,4500,1.0,733.0,750.0,0.4812562589992333
1,VEV_5000,5000,1.0,238.0,255.0,0.2578111202091929
1,VEV_5100,5100,1.0,152.0,167.0,0.25001872546943477
1,VEV_5200,5200,7.0,1905.0,96.5,0.2605095201381922
1,VEV_5300,5300,39.0,5747.0,48.0,0.26332633720265797
1,VEV_5400,5400,81.0,4250.0,15.5,0.24534165026857135
1,VEV_5500,5500,92.0,1923.0,6.5,0.2605622292476021
1,VEV_6000,6000,98.0,0.0,0.5,0.41555320803362467
1,VEV_6500,6500,98.0,0.0,0.5,0.6294588975757656
2,VEV_4000,4000,128.0,321203.0,1258.5,
2,VEV_4500,4500,0.0,0.0,759.0,0.5535940988756385
2,VEV_5000,5000,0.0,0.0,261.0,0.2824649250774407
2,VEV_5100,5100,0.0,0.0,169.0,0.26307728985931766
2,VEV_5200,5200,8.0,2150.0,93.5,0.27079779201495313
2,VEV_5300,5300,45.0,7002.0,44.0,0.27916302394449133
2,VEV_5400,5400,80.0,3640.0,13.0,0.2606161273223521
2,VEV_5500,5500,94.0,1607.0,4.5,0.28668435375587287
2,VEV_6000,6000,95.0,0.0,0.5,0.4743214868350273
2,VEV_6500,6500,95.0,0.0,0.5,0.7215385653759459
3,VEV_4000,4000,150.0,355641.0,1242.5,
3,VEV_4500,4500,2.0,3656.0,743.0,0.6724796911051236
3,VEV_5000,5000,2.0,1171.0,245.5,0.3085128553137396
3,VEV_5100,5100,2.0,719.0,154.0,0.2997808184107161
3,VEV_5200,5200,32.0,8145.0,81.0,0.3005359475157756
3,VEV_5300,5300,80.0,7561.0,33.0,0.3026992278559892
3,VEV_5400,5400,115.0,2979.0,8.5,0.28231967170992023
3,VEV_5500,5500,120.0,672.0,2.5,0.3054055486312946
3,VEV_6000,6000,124.0,0.0,0.5,0.5929407286012759
3,VEV_6500,6500,124.0,0.0,0.5,0.895241399940172
