product,time_bucket,rows,mean_rel_spread_bps,mean_depth_1,mean_abs_mid_delta_1,product_role
HYDROGEL_PACK,early,10002,15.732568354996411,24.822035592881424,1.69006900690069,delta-1 base
HYDROGEL_PACK,late,9999,15.73100927668806,24.846684668466846,1.6466646664666467,delta-1 base
HYDROGEL_PACK,mid,9999,15.745487662850318,24.80878087808781,1.6609660966096609,delta-1 base
VELVETFRUIT_EXTRACT,early,10002,9.460459300849129,75.59868026394722,0.8755375537553756,anchor
VELVETFRUIT_EXTRACT,late,9999,9.502895609534535,75.44484448444844,0.8606860686068607,anchor
VELVETFRUIT_EXTRACT,mid,9999,9.52036527004071,75.57875787578757,0.8493349334933493,anchor
VEV_4000,early,10002,166.3746389409631,21.824135172965406,0.9363936393639364,ITM structural
VEV_4000,late,9999,166.35277056685604,21.8990899089909,0.9348934893489349,ITM structural
VEV_4000,mid,9999,166.2891406501672,21.765676567656765,0.9371937193719372,ITM structural
VEV_4500,early,10002,211.16537399497852,17.861527694461106,0.8805380538053805,ITM structural
VEV_4500,late,9999,211.20597930324942,17.91859185918592,0.8868386838683868,ITM structural
VEV_4500,mid,9999,211.37235760899404,17.91289128912891,0.8828382838283828,ITM structural
VEV_5000,early,10002,236.58445249187395,30.439112177564486,0.7496249624962497,active zone
VEV_5000,late,9999,236.9662897796786,30.953995399539956,0.7602260226022602,active zone
VEV_5000,mid,9999,239.37311821367283,32.23022302230223,0.7415241524152415,active zone
VEV_5100,early,10002,257.5314766960892,38.43211357728455,0.6603160316031603,active zone
VEV_5100,late,9999,258.33220785909043,38.70907090709071,0.67001700170017,active zone
VEV_5100,mid,9999,264.54585343331377,40.22272227222722,0.6345634563456346,active zone
VEV_5200,early,10002,304.57348411969326,44.91821635672866,0.5023002300230023,active zone
VEV_5200,late,9999,308.95604853669636,45.40534053405341,0.502000200020002,active zone
VEV_5200,mid,9999,324.562496961875,46.53045304530453,0.4571957195719572,active zone
VEV_5300,early,10002,465.4793644553603,40.59878024395121,0.31258125812581256,active zone
VEV_5300,late,9999,488.122571923923,41.171917191719174,0.30063006300630063,active zone
VEV_5300,mid,9999,527.0596605914772,41.37253725372537,0.2613761376137614,active zone
VEV_5400,early,10002,976.945566714556,43.60577884423115,0.14476447644764476,upper/passive
VEV_5400,late,9999,1155.807461511971,43.875587558755875,0.12586258625862587,upper/passive
VEV_5400,mid,9999,1308.5257537306227,43.865986598659866,0.10266026602660266,upper/passive
VEV_5500,early,10002,2432.756465803262,44.44611077784443,0.05860586058605861,upper/passive
VEV_5500,late,9999,3226.357884990621,44.72837283728373,0.043154315431543154,upper/passive
VEV_5500,mid,9999,4023.429721149493,44.50715071507151,0.043254325432543254,upper/passive
VEV_6000,early,10002,20000.0,44.97620475904819,0.0,floor/monitor
VEV_6000,late,9999,20000.0,45.06440644064406,0.0,floor/monitor
VEV_6000,mid,9999,20000.0,44.88228822882288,0.0,floor/monitor
VEV_6500,early,10002,20000.0,30.99860027994401,0.0,floor/monitor
VEV_6500,late,9999,20000.0,30.976197619761976,0.0,floor/monitor
VEV_6500,mid,9999,20000.0,31.008700870087008,0.0,floor/monitor
