product,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
HYDROGEL_PACK,4.7096564981868636e-08,6.045473681474368e-11,-2.0664362246549484e-10,1.7758097265238757e-10,4.3255537206579125e-10,-1.575124532080396e-09,5.789402897476092e-09,-1.1100652900099956e-09,2.677915605288392e-08,1.0673719930368195e-07,0.0,0.0
VELVETFRUIT_EXTRACT,6.045473681474368e-11,4.699284347488924e-08,1.4655824685816765e-07,2.206183002241414e-07,6.518187778726794e-07,9.05658117393252e-07,1.2284660931722728e-06,1.6038286297801277e-06,2.2745182506323375e-06,2.5396705938685768e-06,0.0,0.0
VEV_4000,-2.0664362246549484e-10,1.4655824685816765e-07,1.3558053081678641e-06,1.8282167354524293e-06,3.7922168201216626e-06,4.942136907398568e-06,6.393060730021812e-06,7.947788975344293e-06,1.0371097838148896e-05,1.1109909957264495e-05,0.0,0.0
VEV_4500,1.7758097265238757e-10,2.206183002241414e-07,1.8282167354524293e-06,2.9225638303145195e-06,5.875018441833577e-06,7.79054372824109e-06,1.015625186712426e-05,1.2751183997586278e-05,1.6975454765178537e-05,1.83288509131155e-05,0.0,0.0
VEV_5000,4.3255537206579125e-10,6.518187778726794e-07,3.7922168201216626e-06,5.875018441833577e-06,1.589294461914535e-05,1.969084555431155e-05,2.6270296663964588e-05,3.386201273673456e-05,4.666247629184006e-05,5.0727486591305556e-05,0.0,0.0
VEV_5100,-1.575124532080396e-09,9.05658117393252e-07,4.942136907398568e-06,7.79054372824109e-06,1.969084555431155e-05,3.0216271614094395e-05,3.602886476990629e-05,4.662237302427287e-05,6.45458246999754e-05,6.956244032697236e-05,0.0,0.0
VEV_5200,5.789402897476092e-09,1.2284660931722728e-06,6.393060730021812e-06,1.015625186712426e-05,2.6270296663964588e-05,3.602886476990629e-05,6.001801194329694e-05,6.212433610560342e-05,8.730741630351542e-05,9.502620658954096e-05,0.0,0.0
VEV_5300,-1.1100652900099956e-09,1.6038286297801277e-06,7.947788975344293e-06,1.2751183997586278e-05,3.386201273673456e-05,4.662237302427287e-05,6.212433610560342e-05,0.00014384592864656237,0.0001141281172769909,0.00012618473285678654,0.0,0.0
VEV_5400,2.677915605288392e-08,2.2745182506323375e-06,1.0371097838148896e-05,1.6975454765178537e-05,4.666247629184006e-05,6.45458246999754e-05,8.730741630351542e-05,0.0001141281172769909,0.0005046658513090498,0.00017829277527592552,0.0,0.0
VEV_5500,1.0673719930368195e-07,2.5396705938685768e-06,1.1109909957264495e-05,1.83288509131155e-05,5.0727486591305556e-05,6.956244032697236e-05,9.502620658954096e-05,0.00012618473285678654,0.00017829277527592552,0.0022099096844836047,0.0,0.0
VEV_6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEV_6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
